name,url,specialties,hospitals,able_to_book,appointments_next_4_weeks,first_available_days_away
"Dr  Rahul Potluri","https://www.nuffieldhealth.com/consultants/dr-rahul-potluri","Cardiology","Exeter Hospital","Yes","5","20"
"Dr  Ramamurthy Arunachalam","https://www.nuffieldhealth.com/consultants/dr-ramamurthy-arunachalam","Neurophysiology","Wessex Hospital","No","0","0"
"Dr  Ramsey Sabit","https://www.nuffieldhealth.com/consultants/dr-ramsey-sabit","Respiratory Medicine; General (internal) Medicine","Cardiff and Vale Hospitals","Yes","3","27"
"Dr  Ravik  Mascarenhas","https://www.nuffieldhealth.com/consultants/dr-ravik-mascarenhas","Rheumatology","Exeter Hospital","Yes","26","9"
"Dr  Reza Zadeh","https://www.nuffieldhealth.com/consultants/dr-reza-zadeh","Cardiology","Brighton Hospital","Yes","12","7"
"Dr  Rhodri Martin","https://www.nuffieldhealth.com/consultants/dr-rhodri-martin","Sport and Exercise Medicine","Cardiff and Vale Hospitals","Yes","18","22"
"Dr  Richard  Webb","https://www.nuffieldhealth.com/consultants/dr-richard-webb","General Practice (GP)","Brighton Hospital","Yes","93","2"
"Dr  Roger M  Beadle","https://www.nuffieldhealth.com/consultants/dr-roger-m-beadle","Cardiology","Warwickshire Hospital","Yes","7","1"
"Dr  Ruchit Sood","https://www.nuffieldhealth.com/consultants/dr-ruchit-sood","Gastroenterology; General (internal) Medicine","Leeds Hospital","Yes","3","15"
"Dr  Rupert Noad","https://www.nuffieldhealth.com/consultants/dr-rupert-noad","Neuropsychology","Plymouth Hospital","No","0","0"
"Dr  Salahaddin Ubaid","https://www.nuffieldhealth.com/consultants/dr-salahaddin-ubaid","Cardiology","Cheltenham Hospital","Yes","31","13"
"Dr  Sanjay Rao","https://www.nuffieldhealth.com/consultants/dr-sanjay-rao","General Psychiatry","Leicester Hospital","No","0","0"
"Dr  Sarah  Morgan","https://www.nuffieldhealth.com/consultants/dr-sarah-morgan","General Practice (GP)","Cardiff and Vale Hospitals","No","0","0"
"Dr  Satish  Adwani","https://www.nuffieldhealth.com/consultants/dr-satish-adwani","Paediatric Cardiology","Oxford, The Manor Hospital","Yes","0","0"
"Dr  Savio D&#x27;Souza","https://www.nuffieldhealth.com/consultants/dr-savio-dsouza","Cardiology; General (internal) Medicine","Brentwood Hospital","Yes","7","16"
"Dr  Shilpa  Selvan","https://www.nuffieldhealth.com/consultants/dr-shilpa-selvan","General (internal) Medicine; Rheumatology","Brentwood Hospital; The Holly Hospital","No","51","4"
"Dr  Shrawan  Agrawal","https://www.nuffieldhealth.com/consultants/dr-shrawan-agrawal","Rheumatology","Tunbridge Wells Hospital","No","0","0"
"Dr  Simon  Paul","https://www.nuffieldhealth.com/consultants/dr-simon-paul","Rheumatology","Woking Hospital","No","0","0"
"Dr  Simon  Smale","https://www.nuffieldhealth.com/consultants/dr-simon-smale","Gastroenterology; General (internal) Medicine","York Hospital","Yes","0","0"
"Dr  Simon  Webster","https://www.nuffieldhealth.com/consultants/dr-simon-webster","Respiratory Medicine; General (internal) Medicine","Tunbridge Wells Hospital","Yes","0","0"
"Dr  Stephen Pearson","https://www.nuffieldhealth.com/consultants/dr-stephen-pearson","Old Age Psychiatry","Plymouth Hospital; Exeter Hospital","No","0","0"
"Dr  Steven Podd","https://www.nuffieldhealth.com/consultants/dr-steven-podd","Cardiology","Exeter Hospital","Yes","0","0"
"Dr  Suman Kundu","https://www.nuffieldhealth.com/consultants/dr-suman-kundu","Cardiology; General (internal) Medicine","Shrewsbury Hospital","Yes","36","6"
"Dr  Suzanne  Stacey","https://www.nuffieldhealth.com/consultants/dr-suzanne-stacey","Old Age Psychiatry","Ipswich Hospital","Yes","0","0"
"Dr  Syed  Hassan","https://www.nuffieldhealth.com/consultants/dr-syed-hassan","Respiratory Medicine","Tunbridge Wells Hospital","Yes","8","1"
"Dr  Tayaba  Iqbal","https://www.nuffieldhealth.com/consultants/dr-tayaba-iqbal","Dermatology","North Staffordshire Hospital","Yes","34","17"
"Dr  Thirumagal Bavananthan","https://www.nuffieldhealth.com/consultants/dr-thirumagal-bavananthan","Gynaecology","Hereford Hospital","Yes","28","14"
"Dr  Thomas Alway","https://www.nuffieldhealth.com/consultants/dr-thomas-alway","Cardiology","Brighton Hospital","Yes","3","9"
"Dr  Tim  Ambrose","https://www.nuffieldhealth.com/consultants/dr-tim-ambrose","Gastroenterology; Nutrition","Oxford, The Manor Hospital","Yes","48","15"
"Dr  Timothy  Corbett","https://www.nuffieldhealth.com/consultants/dr-timothy-corbett","Haematology; Clinical Oncology","Brighton Hospital","No","0","0"
"Dr  Timothy  Sevitt","https://www.nuffieldhealth.com/consultants/dr-timothy-sevitt","Clinical Oncology","Tunbridge Wells Hospital","No","0","0"
"Dr  Vera Martins","https://www.nuffieldhealth.com/consultants/dr-vera-martins","General Practice (GP)","Tunbridge Wells Hospital","No","0","0"
"Dr  Vijay Anand","https://www.nuffieldhealth.com/consultants/dr-vijay-anand","General Practice (GP)","Cardiff and Vale Hospitals","Yes","18","22"
"Dr  Vikram  Rajkomar","https://www.nuffieldhealth.com/consultants/dr-vikram-rajkomar","Dermatology","North Staffordshire Hospital","Yes","1","16"
